epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.0965,1.86726,1.5345,1.40959,0.85386,0.79537,0.85495,0.42835,1.65719,1.1173,1.28023,0.000662722,0.000662722,0.000662722
2,44.7934,1.70203,0.99638,1.283,0.85322,0.78648,0.86107,0.43915,1.68593,0.9737,1.28964,0.00119778,0.00119778,0.00119778
3,66.3708,1.66828,0.93962,1.26235,0.87038,0.84679,0.89505,0.47387,1.64177,0.88396,1.30332,0.00160084,0.00160084,0.00160084
4,87.9948,1.64854,0.90544,1.25827,0.87695,0.84074,0.90433,0.49027,1.58915,0.8843,1.26648,0.001406,0.001406,0.001406
5,109.677,1.62395,0.86681,1.24663,0.86959,0.83659,0.89858,0.49248,1.58267,0.86964,1.26351,0.001208,0.001208,0.001208
6,132.2,1.60012,0.83165,1.23639,0.88315,0.83899,0.9075,0.50355,1.55985,0.80334,1.25244,0.00101,0.00101,0.00101
7,155.253,1.58324,0.8097,1.23036,0.89201,0.85834,0.92265,0.52719,1.51675,0.76921,1.22974,0.000812,0.000812,0.000812
8,178.267,1.55614,0.78736,1.21647,0.90262,0.86249,0.92816,0.53021,1.50921,0.75274,1.22334,0.000614,0.000614,0.000614
9,201.25,1.54327,0.7695,1.20842,0.89312,0.86294,0.92292,0.52569,1.51117,0.75599,1.21916,0.000416,0.000416,0.000416
10,224.273,1.52726,0.75179,1.19839,0.9047,0.86918,0.93038,0.53571,1.5001,0.72729,1.21682,0.000218,0.000218,0.000218
